순위,매물 이름,거래 유형,가격,업로드 날짜,매물 유형,매물 세부사항 (방갯수/면적/층수),상세 설명,위치
124,느티공무원3단지 311동,월세,"21,000 / 70 만원",20.11.05,아파트,방2개 85.95/58.71㎡ 4층/-,"화포올수리,전망 방2개 26타입 융무 보증금조정가 정자환승역가깝고",경기도  성남시  정자동
125,한솔주공6단지 602동,월세,"3,000 / 70 만원",20.11.05,아파트,방2개 53.15/37.67㎡ 중층/총15층,"수리 깨끗,전망 16타입 보증금조정가 광역정류장앞",경기도  성남시  정자동
126,"상록보성,임광 408동",전세,"75,000 만원",20.11.05,아파트,방3개 87.51/67.43㎡ 중층/-,"남향추천,특올수리,전망 26타입 융무 방3개 전세대출가 정자환승역5분",경기도  성남시  정자동
127,느티공무원4단지 412동,전세,"50,000 만원",20.11.05,아파트,방3개 83.98/58.71㎡ 중층/-,"남향,신혼집추천,특올수리,전망 26타입 융무 전세대출가 정자환승역5분",경기도  성남시  정자동
128,한솔주공5단지 510동,월세,"12,000 / 70 만원",20.11.05,아파트,방2개 74.39/51.66㎡ 12층/-,"남향추천,특올수리,전망 방2개 22타입 융무 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
129,시범한양 301동,매매,"95,000 만원",20.12.08,아파트,방2개 73.63/59.37㎡ 5층/총5층,올수리 깨끗 입주가능 중앙공원 전망,경기도  성남시  서현동
130,매화주공3단지 305동,전세,"25,700 만원",20.12.08,아파트,방2개 70.9/49.77㎡ 1층/총10층,"빠른입주가능합니다.올수리깨끗,저렴하게 나온물건입니다",경기도  성남시  야탑동
131,양지5단지한양 511동,전세,"35,000 만원",20.12.08,아파트,방2개 48.24/35.1㎡ 중층/총15층,14P 특올수리상태좋아요 로얄동 로얄층 전망좋고 조용 수내역5분,경기도  성남시  수내동
132,백현마을1단지푸르지오그랑블 114동,매매,"250,000 만원",20.12.08,아파트,방3개 128.69/103.96㎡ 고층/총20층,판교초역 특올수리 쾌적하고 밝은전망 보평학군 매수를 권장합니다.,경기도  성남시  백현동
133,장안타운건영2차 114동,매매,"110,000 만원",20.12.08,아파트,방4개 159.16B/131.76㎡ 12층/총19층,48p  특올수리 되었으며 전망좋은집 세안고,경기도  성남시  분당동
134,양지5단지한양 512동,매매,"61,000 만원",20.12.08,아파트,방2개 48.24/35.1㎡ 14층/총15층,입주일협의가능 올수리 전망 조용한동,경기도  성남시  수내동
135,매화공무원2단지 211동,매매,"70,000 만원",20.12.07,아파트,방2개 80.13/58.19㎡ 저층/총15층,세안고매매 또는21년8월25일이후 입주가능,경기도  성남시  야탑동
136,시범현대 427동,전세,"95,000 만원",20.12.07,아파트,방3개 111.61A/84.95㎡ 10층/총30층,"33형,특올수리,확장,융자무,정상입주,분당초1분,중앙공원.서현역근접",경기도  성남시  서현동
137,백현마을5단지 509동,매매,"158,000 만원",20.12.07,아파트,방3개 111.60B/84.61㎡ 중층/총8층,급매 세안고수리굿 역세권,경기도  성남시  백현동
138,봇들마을9단지 902동,전세,"135,000 만원",20.12.07,아파트,방3개 127.21B/101.09㎡ 저층/-,밝고환한집  관리상태좋은집 귀한매물 참조은 부동산,경기도  성남시  삼평동
139,정든동아1단지 106동,매매,"150,000 만원",20.12.07,아파트,방5개 189.49/164.77㎡ 2층/총15층,정상.주인거주.올수리.남향.조용하고쾌적한단지.,경기도  성남시  정자동
140,미켈란쉐르빌 D동,월세,"60,000 / 200 만원",20.12.07,아파트,방4개 202.97/165.25㎡ 중층/총38층,62 시스템에어컨 융무 좋은 평면,경기도  성남시  정자동
141,"양지3,5단지금호한양 523동",전세,"120,000 만원",20.12.07,아파트,방4개 126.36/101.93㎡ 10층/총10층,확장올수리 융자무 전망 학군우수 수내초역세권 탑층,경기도  성남시  수내동
142,장미코오롱 137동,전세,"55,000 만원",20.12.07,아파트,방3개 79.04/59.55㎡ 중층/총15층,확장올수리 . 입주협의 . 저렴한전세,경기도  성남시  야탑동
143,시범한양 330동,매매,"46,000 만원",20.12.07,아파트,방1개 40.07/28.71㎡ 13층/총15층,초급매 로얄동 로얄층 전망트임  급히 매매 서현역세권,경기도  성남시  서현동
144,백현마을7단지 701동,매매,"170,000 만원",20.12.07,아파트,방3개 110.85B/84.61㎡ 중층/총14층,짧은세안고 입주협의 역세권,경기도  성남시  백현동
145,이매삼성 1010동,매매,"140,000 만원",20.12.07,아파트,방4개 153.23/127.83㎡ 저층/총16층,확장올수리 이매역인접남향 이매중 귀한입주직접매물,경기도  성남시  이매동
146,봇들마을9단지 904동,매매,"185,000 만원",20.12.07,아파트,방3개 127.21B/101.09㎡ 고층/총2층,좋은구조 GTX최대수혜단지임 집샹태굿 확실출발,경기도  성남시  삼평동
147,푸른쌍용 606동,매매,"90,000 만원",20.12.05,아파트,방3개 71.56/59.78㎡ 중층/총5층,"즉시입주할수있음,전용공간이크게빠짐,학군이좋음,백화점및병원근접",경기도  성남시  수내동
148,매화공무원2단지 216동,전세,"43,000 만원",20.12.05,아파트,방2개 84.55/58.71㎡ 고층/총19층,입주협의 . 올수리 . 조용한동 . 귀한전세,경기도  성남시  야탑동
149,"양지3,5단지금호한양 301동",매매,"175,000 만원",20.12.05,아파트,방4개 157.43A/134.48㎡ 고층/총21층,최근확장특올수리 입주가능 학군 학원가최고 수내역세권,경기도  성남시  수내동
150,매화공무원2단지 204동,매매,"73,000 만원",20.12.05,아파트,방2개 84.55/58.71㎡ 저층/총21층,투자굿 . 남향 . 조용한동 . 올수리,경기도  성남시  야탑동
151,봇들마을9단지 904동,매매,"185,000 만원",20.12.05,아파트,방3개 127.21B/101.09㎡ 저층/총20층,"38급매 세안고 인기구조 gtx역앞 확장된 거실,안방 붙박이.부엌 화이트",경기도  성남시  삼평동
152,시범우성 216동,전세,"130,000 만원",20.12.05,아파트,방6개 240.19/193.99㎡ 12층/총12층,73 확장올수리에 탁 트인 앞 뒤 전망 2세대가 합가 하기에  좋은 구조,경기도  성남시  서현동
153,시범우성 213동,전세,"110,000 만원",20.12.05,아파트,방5개 208.79/164.4㎡ 16층/총20층,63예전올수리샷시포함 탁 트인 앞전망 조용하며 2세대합가하기좋은구조서현중,경기도  성남시  서현동
154,이매삼성 1004동,매매,"150,000 만원",20.12.05,아파트,방4개 153.23/127.83㎡ 중층/총21층,46p 올수리 조용한로얄동 단지내이매중 세안고,경기도  성남시  이매동
155,봇들마을9단지 910동,매매,"370,000 만원",20.12.04,아파트,방5개 226.54B/180.02㎡ 고층/총25층,"68추천 단층 펜트 입주 남향 탁 트인 전망 관리잘됨 확장된 거실,방5개",경기도  성남시  삼평동
156,"효자대우,대창 620동",매매,"110,000 만원",20.12.04,아파트,방3개 104.98/84.69㎡ 7층/총21층,주인거주 올확장부분수리,경기도  성남시  서현동
157,무지개1단지대림 111동,매매,"117,000 만원",20.12.03,아파트,방4개 153.77/127.17㎡ 19층/총27층,"전망굿,정상입주,오리역",경기도  성남시  구미동
158,효자임광 303동,월세,"55,000 / 50 만원",20.12.03,아파트,방3개 103.99/84.99㎡ 중층/총17층,최근샷시포함완벽특올수리  상태최상,경기도  성남시  서현동
159,효자미래타운 604동,매매,"125,000 만원",20.12.03,아파트,방4개 164.11/134.64㎡ 고층/총22층,입주가능 주인거주 샷시제외한전체올수리,경기도  성남시  서현동
160,장안타운건영2차 110동,매매,"125,000 만원",20.12.03,아파트,방4개 159.16A/131.55㎡ 7층/총15층,특올수리 입주가능 방4,경기도  성남시  분당동
161,양지1단지금호 116동,전세,"130,000 만원",20.12.02,아파트,방4개 157.98/133.82㎡ 고층/총16층,50P 샷시까지특수리 앞뒤전망시원 융자없음 수내역 중앙공원인접,경기도  성남시  수내동
162,정든우성6단지 613동,전세,"68,000 만원",20.12.02,아파트,방3개 88.33/69.05㎡ 6층/총18층,정남향 단지내초등 수리깨끗 학군양호,경기도  성남시  정자동
163,이매청구 614동,매매,"190,000 만원",20.12.02,아파트,방5개 229.39/194.98㎡ 중층/총16층,올수리 전망굿 더블역세권 GTX수혜단지 입주추천,경기도  성남시  이매동
164,이매삼성 1009동,매매,"170,000 만원",20.12.02,아파트,방5개 201.91/174.67㎡ 중층/총15층,전체특올수리 남향로얄동 전망 이매중단지 역세권 입주추천,경기도  성남시  이매동
165,판교써밋플레이스 102동,월세,"50,000 / 300 만원",20.12.02,아파트,방4개 163.12A/131.24㎡ 고층/-,"확트인전망,융자없고 인테리어깨끗한집입니다.",경기도  성남시  삼평동
166,백현마을6단지 606동,전세,"93,000 만원",20.12.01,아파트,방3개 97.58B/74.45㎡ 저층/총19층,집밝고예뻐요 역세권,경기도  성남시  백현동
167,청솔대원 808동,전세,"100,000 만원",20.12.01,아파트,방4개 152.59/129.45㎡ 13층/총20층,남향 특수리해줌 중도금필요 2월24일 미금역세권,경기도  성남시  금곡동
168,백현마을2단지 209동,매매,"170,000 만원",20.12.01,아파트,방3개 108.07A/84.5㎡ 중층/총15층,32판상형입니다  정남향   세안고  뷰가좋구요,경기도  성남시  백현동
169,백현마을7단지 701동,매매,"170,000 만원",20.12.01,아파트,방3개 111.01G/84.73㎡ 고층/총14층,판상형 초중고 판교역 현백 모든부족함없는 투자유망지백현마을강추합니다,경기도  성남시  백현동
170,백현마을2단지 212동,매매,"174,000 만원",20.12.01,아파트,방3개 129.49A/101.25㎡ 저층/총20층,아이들뛰어놀기 좋다  특특수리  뷰가좋아요,경기도  성남시  백현동
171,백현마을6단지 605동,전세,"95,000 만원",20.12.01,아파트,방3개 97.99B1/74.76㎡ 고층/총22층,귀한전세  아이보리크림톤 환하고이뻐요 각방붙박이설치됨,경기도  성남시  백현동
172,백현마을1단지푸르지오그랑블 103동,매매,"270,000 만원",20.12.01,아파트,방4개 145.54/117.51㎡ 고층/총22층,정상입주   뷰가좋구 조용한  귀한매매  백화점  역세권,경기도  성남시  백현동
173,정든우성6단지 609동,매매,"115,000 만원",20.12.01,아파트,방3개 104.22/84.97㎡ 1층/총23층,3개월정도날짜협의가능.확장특올수리.남향.동간넓고환한집.로얄동,경기도  성남시  정자동
174,백현마을2단지 207동,매매,"165,000 만원",20.12.01,아파트,방3개 108.48B/84.82㎡ 중층/총12층,입주가능함   뷰도좋구요,경기도  성남시  백현동
175,이매삼환 1102동,전세,"90,000 만원",20.11.30,아파트,방4개 126.64/101.9㎡ 저층/총17층,38p 올수리 밝은집 단지내이매중 역세권,경기도  성남시  이매동
176,이매삼성 1021동,전세,"90,000 만원",20.11.30,아파트,방4개 153.23/127.83㎡ 2층/총21층,46p 올수리 남향 로얄동 이매역세권가까운돈,경기도  성남시  이매동
177,탑벽산 606동,매매,"140,000 만원",20.11.30,아파트,방4개 162.79/134.79㎡ 10층/총23층,2021 7월이후 입주협의 로얄동 로얄층입니다,경기도  성남시  야탑동
178,한솔3단지한일 307동,월세,"25,000 / 180 만원",20.11.30,아파트,방3개 109.91/84.92㎡ 14층/총17층,올수리 탁트인전망 밝은집 정상입주,경기도  성남시  정자동
179,시범우성 214동,매매,"155,000 만원",20.11.28,아파트,방4개 176.16/134.04㎡ 1층/총20층,"급매,올수리,세안고,로얄동,서현중,분당초,중앙공원,서현역 ,애경프라자근접",경기도  성남시  서현동
180,양지5단지한양 511동,전세,"38,000 만원",20.11.27,아파트,방2개 48.24/35.1㎡ 고층/총15층,2월17일입주가 올수리 전망 수내역세권,경기도  성남시  수내동
181,현대아이파크 105동,매매,"150,000 만원",20.11.25,아파트,방4개 182.02/146.82㎡ 6층/총15층,세안고 앞이트여있음 초역세권,경기도  성남시  야탑동
182,양지1단지금호 101동,매매,"200,000 만원",20.11.24,아파트,방5개 227.27B/198.45㎡ 고층/총15층,69 복층 특올수리 정상입주 전망굿 수내역세권 좋아요,경기도  성남시  수내동
183,판교원마을1단지 101동,매매,"150,000 만원",20.11.23,아파트,방4개 148.96A/118.91㎡ 저층/총11층,"45P 햇살좋은 정남향, 깨끗해요,입주협의",경기도  성남시  판교동
184,시범현대 408동,전세,"125,000 만원",20.11.20,아파트,방4개 156.64B/129.56㎡ 7층/총15층,귀한전세  샤시까지 최근 완벽수리 되었음 2월중순이전 입주,경기도  성남시  서현동
185,푸른벽산 312동,전세,"65,000 만원",20.11.18,아파트,방3개 71.56/59.78㎡ 고층/총5층,화장실 1년반전수리  확장안됨 긴정상,경기도  성남시  수내동
186,탑주공8단지 801동,매매,"45,000 만원",20.11.18,아파트,방2개 52.33B/36㎡ 5층/총10층,"전세안고,깨끗,역세권소형,좋은구조입니다.",경기도  성남시  야탑동
187,탑벽산 612동,매매,"130,000 만원",20.11.18,아파트,방4개 140.28/114.93㎡ 8층/총19층,역세권 주인거주 앞이트여있음,경기도  성남시  야탑동
188,이매진흥 807동,전세,"100,000 만원",20.11.17,아파트,방4개 122.45/101.89㎡ 중층/총20층,38p 특올수리. 샷시포함. 이매역. 이매초. 이매중,경기도  성남시  이매동
189,이매삼성 1018동,매매,"89,000 만원",20.11.17,아파트,방3개 74.3/59.53㎡ 중층/총5층,남향로얄동 전망 수리 역세권 이매중단지 입주추천,경기도  성남시  이매동
190,탑5단지타워빌 506동,월세,"80,000 / 5,000 만원",20.11.16,아파트,방4개 154/131.4㎡ 21층/총22층,48p 내부 특올수리. 남향 밝은 앞뒤 전망. 하탑초. 이매중,경기도  성남시  야탑동
191,이매삼성 1001동,매매,"145,000 만원",20.11.16,아파트,방4개 124.54/101.91㎡ 중층/총18층,38p정체특올수리 남향 전망나옴,경기도  성남시  이매동
192,백현마을7단지 706동,매매,"160,000 만원",20.11.16,아파트,방3개 97.95B1/74.76㎡ 고층/총24층,29p밝고예쁜집 전망구조최고 역세권,경기도  성남시  백현동
193,위례자연앤래미안e편한세상 5603동,월세,"20,000 / 220 만원",20.11.13,아파트,방3개 111.86A/84.98㎡ 저층/총15층,최고학군 단지내초중고어린이집 에어컨 융무 트인조망 채광우수고품격편의시설,경기도  성남시  창곡동
194,정든동아2단지 201동,매매,"70,000 만원",20.11.13,아파트,방2개 64.69/48.84㎡ 15층/총15층,정상입주.확장특올수리화장실포함.층간소음없는탑층.불곡산전망,경기도  성남시  정자동
195,백현마을5단지 501동,매매,"165,000 만원",20.11.12,아파트,방3개 111.72E1/84.7㎡ 고층/총21층,판교역5분  세안고 전망트인조용한단지 갭투자최고입니다,경기도  성남시  백현동
196,산들마을 209동,전세,"63,000 만원",20.11.10,아파트,방2개 72.19A/51.93㎡ 중층/총15층,귀한전세. 확장형 .조용한동,경기도  성남시  여수동
197,판교원마을2단지 204동,전세,"110,000 만원",20.11.09,아파트,방4개 143.44B/115.2㎡ 저층/총15층,"43판상형, 남향, 아주깨끗새도배, 운중천전망굿, 빠른이사입주협의",경기도  성남시  판교동
198,시범우성 215동,월세,"70,000 / 240 만원",20.11.07,아파트,방6개 240.19/193.99㎡ 17층/총20층,73확장특올수리샷시포함 탁트인앞뒤전망주인거주중이며2세대합가하기에좋은구조임,경기도  성남시  서현동
199,시범우성 214동,매매,"169,000 만원",20.11.07,아파트,방4개 176.16/134.04㎡ 11층/총20층,53예전확장올수리샷시포함.앞뒤전망앞에는정원같은 단지조성마당에차가전혀없어좋,경기도  성남시  서현동
200,효자임광 313동,매매,"150,000 만원",20.11.04,아파트,방4개 151.83/129.88㎡ 5층/총14층,47타입 특올수리 11억주세안고 로얄동 서당초양영중학군,경기도  성남시  서현동
201,매화주공3단지 301동,전세,"30,000 만원",20.11.04,아파트,방2개 58.54/46.2㎡ 중층/총15층,저렴한전세 . 올수리 . 정상입주,경기도  성남시  야탑동
202,봇들마을3단지 307동,매매,"125,000 만원",20.12.08,아파트,방3개 81.16C/59.95㎡ 중층/총15층,24.추천 투자매물 앞뒤 탁 트인전망 인기구조 세안고 확장된집 환기잘됨,경기도  성남시  삼평동
203,양지5단지한양 511동,월세,"2,000 / 80 만원",20.12.08,아파트,방2개 48.24/35.1㎡ 2층/총15층,특올수리 융자무 빠른입주가 수내초역세권 조용한동,경기도  성남시  수내동
204,장안타운건영2차 120동,전세,"69,000 만원",20.12.08,아파트,방3개 109.40/85㎡ 1층/총13층,예전확장수리  정원전망  화장실2,경기도  성남시  분당동
205,백현마을5단지 503동,매매,"165,000 만원",20.12.08,아파트,방3개 111.72E1/84.7㎡ 고층/총21층,전망인테리어굿 짧은세안고 역근거리,경기도  성남시  백현동
206,양지1단지금호 101동,전세,"130,000 만원",20.12.08,아파트,방4개 157.98/133.82㎡ 14층/총18층,50 최근특올수리 2월26일입주 융자없음 수내역3분 아주좋아요,경기도  성남시  수내동
207,양지5단지한양 513동,매매,"52,000 만원",20.12.08,아파트,방1개 38.72/28.16㎡ 고층/총15층,11P  정상입주가능 앞전망 시원하고 채광아주좋음 수내역 5분거리,경기도  성남시  수내동
208,정든동아1단지 102동,전세,"90,000 만원",20.12.08,아파트,방4개 122.3/101.99㎡ 고층/총16층,37p.12월말이후.날짜협의.특올수리.화장실포함.단지전망,경기도  성남시  정자동
209,탑주공8단지 802동,전세,"20,000 만원",20.12.08,아파트,방2개 51.28A/35.28㎡ 7층/총10층,"정상,깨끗,융자없음,저렴하게나온 매물입니다.",경기도  성남시  야탑동
210,판교알파리움2단지(C2-3) 205동,월세,"50,000 / 440 만원",20.12.08,아파트,방4개 163.51C/129.39㎡ 고층/총20층,판교초역세권 풀옵션 입주를 환영니다.,경기도  성남시  백현동
211,정든우성6단지 613동,전세,"68,000 만원",20.12.08,아파트,방3개 88.33/69.05㎡ 11층/총18층,21년3월5일.최신완벽특올수리내.외부샷시화장실포함.남향.수내학군,경기도  성남시  정자동
212,백현마을8단지 802동,월세,"50,000 / 230 만원",20.12.08,아파트,방4개 145.93A/117.06㎡ 저층/총15층,판교역세권 밝은전망 입주를환영함니다.,경기도  성남시  백현동
213,봇들마을3단지 307동,매매,"125,000 만원",20.12.08,아파트,방3개 81.16C/59.95㎡ 중층/총15층,"세안고,확트인전망,밝고환한집,투자가치높음",경기도  성남시  삼평동
214,양지1단지금호 101동,전세,"130,000 만원",20.12.08,아파트,방4개 157.98/133.82㎡ 14층/총15층,최근확장특올수리 융자무 전망 단지내초림초 수내초역세권,경기도  성남시  수내동
215,백현마을2단지 212동,전세,"130,000 만원",20.12.08,아파트,방4개 151.44A/118.41㎡ 고층/-,"로얄동, 확트인전망 좋은집입니다.",경기도  성남시  백현동
216,백현마을7단지 707동,전세,"95,000 만원",20.12.07,아파트,방3개 97.95B1/74.76㎡ 저층/총22층,아이보리크림톤이쁜집  판상형  전망굿탁트인 각방붙박이설치됨,경기도  성남시  백현동
217,백현마을8단지 802동,전세,"130,000 만원",20.12.07,아파트,방4개 145.93A/117.06㎡ 저층/총15층,판교역세권 밝은전망 입주를환영함니다.,경기도  성남시  백현동
218,이매청구 614동,매매,"170,000 만원",20.12.07,아파트,방5개 229.39/194.98㎡ 저층/총16층,전망굿 샷시포함올수리 더블역세권 GTX수혜단지 추천,경기도  성남시  이매동
219,"효자화성,LG 623동",매매,"75,000 만원",20.12.07,아파트,방2개 73.48/53.82㎡ 중층/총15층,방2개 확장특올수리 8월입주 서당초학군,경기도  성남시  서현동
220,이매삼환 1102동,전세,"85,000 만원",20.12.07,아파트,방4개 126.64/101.9㎡ 저층/총17층,올수리 이매중단지 주차편리,경기도  성남시  이매동
221,푸른쌍용 509동,월세,"68,000 / 130 만원",20.12.07,아파트,방4개 154.82/131.4㎡ 12층/총14층,특올수리 21년1월25일입주가능 수내초수내중학군 조용한동,경기도  성남시  수내동
222,이매성지 704동,전세,"80,000 만원",20.12.07,아파트,방3개 106.26/84.9㎡ 저층/총12층,"최근전체특올수리,샷시등 로얄동 초역세권 융무",경기도  성남시  이매동
223,봇들마을3단지 306동,매매,"115,000 만원",20.12.07,아파트,방3개 80.68B/59.85㎡ 저층/총15층,24.급매 입주 확장된 넓은 다용도 거실.벙3개.화장실2개 이쁜 정원전망,경기도  성남시  삼평동
224,효자미래타운 601동,매매,"125,000 만원",20.12.07,아파트,방4개 164.11/134.64㎡ 19층/총22층,49타입 올수리 짧은주세안고 편의시설풍부 특전망,경기도  성남시  서현동
225,이매동신9차 904동,매매,"144,000 만원",20.12.07,아파트,방4개 143.92/117.12㎡ 고층/총10층,"특올수리 전망굿  이매초,중학군 더블역세권",경기도  성남시  이매동
226,양지5단지한양 509동,매매,"55,000 만원",20.12.07,아파트,방2개 48.24/35.1㎡ 저층/총15층,14P  올수리깨끗 전세안고 가격저렴 수내역 바로앞,경기도  성남시  수내동
227,한솔청구 102동,매매,"123,000 만원",20.12.07,아파트,방3개 109.46/84.96㎡ 6층/총20층,확장특올수리  용적율양호 정남향 학군양호 정상입주,경기도  성남시  정자동
228,시범현대 411동,전세,"130,000 만원",20.12.07,아파트,방6개 232.63/193.44㎡ 13층/총15층,샤시포함특올수리 공원전망 융자무,경기도  성남시  서현동
229,"효자화성,LG 607동",전세,"86,000 만원",20.12.07,아파트,방3개 104.98/84.69㎡ 고층/총19층,33타입 특올수리 정상입주 로얄동 서당초학군,경기도  성남시  서현동
230,효자동아 213동,전세,"55,000 만원",20.12.07,아파트,방3개 73.12/59.78㎡ 저층/총5층,방3개 확장올수리 정상입주 씽크대교체 광역교통편리,경기도  성남시  서현동
231,푸른쌍용 611동,전세,"90,000 만원",20.12.07,아파트,방3개 103.36/84.72㎡ 중층/총19층,수리깨끗 정상입주 전망나옴,경기도  성남시  수내동
232,백현마을5단지 505동,매매,"185,000 만원",20.12.07,아파트,방3개 112.58A/84.98㎡ 중층/총16층,입주 구조전망굿 역세권,경기도  성남시  백현동
233,효자현대 102동,전세,"125,000 만원",20.12.07,아파트,방4개 156.52/128.04㎡ 중층/총20층,47타입 특올수리 빠른입주가능 융무 조용한로얄동 서당초인접,경기도  성남시  서현동
234,백현마을2단지 203동,전세,"150,000 만원",20.12.07,아파트,방4개 152.12C/118.94㎡ 중층/총23층,"45.융무 남향 판상형  확장된 거실,방4개 ,에어컨.도배.전등 올수리",경기도  성남시  백현동
235,효자임광 310동,매매,"134,000 만원",20.12.07,아파트,방4개 132.41/111.51㎡ 13층/총15층,최근샷시포함전체완벽특올수리 입주가능,경기도  성남시  서현동
236,시범우성 223동,전세,"120,000 만원",20.12.07,아파트,방4개 155.08/129.21㎡ 5층/총17층,47타입 최근샤시교체함 잔금전완벽특올수리해드림 서현중인접,경기도  성남시  서현동
237,"효자화성,LG 625동",매매,"77,000 만원",20.12.07,아파트,방2개 73.48/53.82㎡ 2층/총10층,23타입 주인거주 깨끗하고밝은집 정상입주 서당초,경기도  성남시  서현동
238,백현마을6단지 606동,전세,"95,000 만원",20.12.07,아파트,방3개 97.58B/74.45㎡ 중층/총19층,로얄층 깨끗함 1월말 2월초,경기도  성남시  백현동
239,한솔청구 105동,전세,"46,000 만원",20.12.07,아파트,방2개 66.15/49.35㎡ 11층/총14층,욕실포함특올수리 융자무 전망굿 학군양호,경기도  성남시  정자동
240,백현마을6단지 601동,매매,"177,000 만원",20.12.07,아파트,방3개 110.9B/84.61㎡ 중층/총14층,전망구조굿 역근거리 전세9.8억안고,경기도  성남시  백현동
241,양지5단지한양 513동,전세,"50,000 만원",20.12.07,아파트,방2개 58.52/42.56㎡ 고층/총15층,17 특올수리 샤시포함 정상입주 융자없음 수내역세권 동북향 좋아요,경기도  성남시  수내동
242,양지6단지금호청구 602동,전세,"62,000 만원",20.12.07,아파트,방2개 75.7/59.62㎡ 고층/총22층,26 즉시입주 특수리 공원향 수내역세권 초림초앞 아주좋아요,경기도  성남시  수내동
243,양지2단지청구 211동,전세,"110,000 만원",20.12.05,아파트,방3개 107.3/84.99㎡ 13층/총18층,"샤시포함특올수리 융자무 전ㅁ아 학군,학원우수",경기도  성남시  수내동
244,백현마을8단지 802동,전세,"115,000 만원",20.12.05,아파트,방3개 126.12A/101.17㎡ 중층/총15층,전망구조굿 입주일협의가능 역세권,경기도  성남시  백현동
245,장미동부 137동,전세,"55,000 만원",20.12.05,아파트,방3개 78.19/59.76㎡ 중층/총15층,올수리 . 정상입주,경기도  성남시  야탑동
246,탑주공8단지 808동,월세,"3,000 / 80 만원",20.12.05,아파트,방2개 57.53/41.85㎡ 6층/총15층,남향 화장실포함 올수리 빠른입주가능,경기도  성남시  야탑동
247,장미코오롱 102동,월세,"30,000 / 120 만원",20.12.05,아파트,방3개 107.41/84.6㎡ 중층/총16층,올수리 . 정남향 . 입주협의,경기도  성남시  야탑동
248,장미현대 836동,월세,"5,000 / 85 만원",20.12.05,아파트,방2개 54.36/41.76㎡ 중층/총15층,역세권아파트 . 올수리 . 정상,경기도  성남시  야탑동
249,이매삼성 1021동,전세,"90,000 만원",20.12.05,아파트,방4개 153.23/127.83㎡ 저층/총21층,올수리 조용한로얄동 이매역세권가까운동,경기도  성남시  이매동
250,양지5단지한양 519동,매매,"180,000 만원",20.12.05,아파트,방5개 221.48/185.91㎡ 1층/총17층,67 올수리 월세안고 수내초역세권,경기도  성남시  수내동
251,탑벽산 608동,월세,"40,000 / 150 만원",20.12.05,아파트,방3개 106.15/84.91㎡ 저층/총15층,올수리 . 역세권아파트 . 탄천전망. 조용한동,경기도  성남시  야탑동
252,이매청구 613동,전세,"90,000 만원",20.12.05,아파트,방3개 109.1/84.99㎡ 중층/총16층,특올수리 라인굿 더블역세권 추천매물,경기도  성남시  이매동
253,장미동부 112동,월세,"10,000 / 170 만원",20.12.05,아파트,방3개 106.28/84.99㎡ 고층/총15층,역세권아파트 . 조용한동 . 올수리,경기도  성남시  야탑동
254,이매삼환 1102동,전세,"90,000 만원",20.12.05,아파트,방4개 126.64/101.9㎡ 저층/총17층,38p 올수리 단지내이매중 역세권 주차장넉넉,경기도  성남시  이매동
255,장미코오롱 115동,월세,"50,000 / 100 만원",20.12.05,아파트,방3개 107.41/84.6㎡ 중층/총16층,역세권가까운동 . 정남향 . 조용한동 . 정상입주,경기도  성남시  야탑동
256,장미현대 822동,월세,"10,000 / 100 만원",20.12.05,아파트,방2개 54.36/41.76㎡ 저층/총15층,화장실포함올수리 . 정상,경기도  성남시  야탑동
257,탑주공8단지 808동,전세,"30,000 만원",20.12.05,아파트,방2개 57.53/41.85㎡ 고층/총15층,"남향 , 좋은구조, 빠른입주가능, 욕실올수리해줌,",경기도  성남시  야탑동
258,장미코오롱 121동,월세,"20,000 / 100 만원",20.12.05,아파트,방3개 79.04/59.55㎡ 중층/총15층,올수리 . 입주협의,경기도  성남시  야탑동
259,위례자연앤래미안e편한세상 5614동,전세,"80,000 만원",20.12.05,아파트,방3개 99.91A/75.99㎡ 고층/총18층,최고학군 단지내초중고어린이집 트인전망 채광우수 고품격편의시설 웰빙아파트,경기도  성남시  창곡동
260,탑경남 712동,월세,"65,000 / 70 만원",20.12.05,아파트,방4개 162.79/134.79㎡ 중층/총15층,올수리 . 역세권아파트 . 보증금조정가,경기도  성남시  야탑동
261,이매삼성 1023동,매매,"85,000 만원",20.12.05,아파트,방3개 74.3/59.53㎡ 중층/총5층,22p 남향밝은집 이매환승역세권인접동,경기도  성남시  이매동
262,이매삼성 1021동,월세,"75,000 / 45 만원",20.12.05,아파트,방4개 153.23/127.83㎡ 저층/총21층,46p올수리 남향 밝은집 이매역세권,경기도  성남시  이매동
263,탑경남 708동,월세,"30,000 / 250 만원",20.12.05,아파트,방4개 162.79/134.79㎡ 고층/총20층,최근특올수리 . 시스템에어컨설치 . 역세권아파트,경기도  성남시  야탑동
264,이매삼성 1010동,매매,"140,000 만원",20.12.05,아파트,방4개 153.23/127.83㎡ 저층/총16층,46p올수리  이매중학군 입주,경기도  성남시  이매동
265,시범현대 418동,월세,"70,000 / 180 만원",20.12.05,아파트,방4개 156.64A/129.73㎡ 5층/총15층,47특올수리샷시포함 탁 트인 중앙공원전망에 바로나오면 분당초 서현중학교가,경기도  성남시  서현동
